Wavelength;4_21_2023;4_21_2023;5_12_2023;5_12_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023
319.5;22.539;15.566;22.239;18.927;6.299;7.593;8.18;8.563;9.437;9.61;34.026;37.419;1.766;1.851;48.4;32.57;33.156;68.645;114.948;70.479;14.959;13.246;11.139;2.559;2.468;2.366
320;22.555;15.46;22.147;18.82;6.314;7.604;8.202;8.568;9.442;9.621;33.896;37.365;1.829;1.866;48.353;32.539;33.153;68.506;114.715;70.408;14.898;13.202;11.03;2.571;2.499;2.349
320.5;22.465;15.331;22.021;18.678;6.325;7.612;8.208;8.576;9.455;9.624;33.868;37.283;1.807;1.826;48.24;32.436;33.078;68.238;114.619;70.182;14.87;13.217;11.011;2.567;2.533;2.359
321;22.641;15.172;21.86;18.503;6.335;7.617;8.222;8.593;9.455;9.634;33.883;37.239;1.771;1.794;48.083;32.342;33.02;67.983;114.388;70.038;14.852;13.198;11.077;2.552;2.526;2.328
321.5;22.719;14.963;21.682;18.325;6.346;7.638;8.239;8.612;9.461;9.652;33.835;37.162;1.737;1.788;47.987;32.274;32.979;67.685;114.209;69.886;14.814;13.24;11.149;2.543;2.555;2.341
322;22.648;14.762;21.54;18.18;6.345;7.642;8.237;8.616;9.462;9.667;33.796;37.027;1.728;1.795;47.871;32.146;32.885;67.491;113.949;69.681;14.741;13.163;11.098;2.528;2.537;2.357
322.5;22.701;14.687;21.499;18.15;6.349;7.643;8.224;8.613;9.473;9.674;33.656;36.857;1.689;1.787;47.641;32.007;32.854;67.285;113.644;69.421;14.683;13.042;10.984;2.516;2.527;2.371
323;22.865;14.761;21.576;18.238;6.352;7.642;8.216;8.609;9.487;9.681;33.616;36.753;1.658;1.77;47.529;31.978;32.854;67.167;113.505;69.179;14.709;13.082;11.027;2.475;2.48;2.362
323.5;22.981;14.887;21.711;18.399;6.358;7.642;8.223;8.62;9.512;9.699;33.572;36.676;1.659;1.777;47.498;31.959;32.803;66.974;113.422;68.971;14.782;13.087;11.064;2.424;2.423;2.326
324;22.935;15.047;21.849;18.575;6.361;7.649;8.233;8.633;9.521;9.708;33.491;36.644;1.668;1.718;47.471;31.961;32.657;66.823;113.381;68.706;14.77;13.127;11.099;2.415;2.395;2.317
324.5;22.989;15.15;21.966;18.688;6.365;7.657;8.236;8.631;9.537;9.716;33.326;36.49;1.697;1.724;47.46;31.912;32.582;66.716;113.194;68.559;14.788;13.125;11.043;2.401;2.383;2.307
325;23.025;15.212;22.046;18.765;6.374;7.669;8.251;8.623;9.553;9.717;33.274;36.503;1.705;1.725;47.439;31.832;32.538;66.491;113.077;68.258;14.757;13.147;10.994;2.414;2.363;2.303
325.5;22.811;15.242;22.078;18.789;6.367;7.665;8.254;8.611;9.552;9.712;33.195;36.511;1.662;1.719;47.391;31.751;32.443;66.166;113.08;67.943;14.725;13.103;10.947;2.377;2.334;2.301
326;23.028;15.189;22.036;18.75;6.366;7.68;8.265;8.62;9.547;9.704;33.074;36.484;1.621;1.715;47.312;31.686;32.368;65.789;113.129;67.749;14.634;13.042;10.935;2.376;2.293;2.266
326.5;22.939;15.052;21.919;18.637;6.361;7.697;8.272;8.632;9.539;9.691;33.036;36.447;1.594;1.708;47.29;31.669;32.417;65.546;112.961;67.679;14.564;13.007;10.884;2.375;2.313;2.281
327;22.607;14.895;21.775;18.478;6.359;7.7;8.259;8.635;9.531;9.671;33.052;36.354;1.581;1.71;47.212;31.613;32.387;65.375;112.712;67.473;14.519;12.959;10.861;2.416;2.318;2.297
327.5;22.545;14.74;21.631;18.343;6.356;7.694;8.246;8.625;9.514;9.65;32.983;36.229;1.539;1.676;46.996;31.554;32.36;65.2;112.706;67.188;14.472;12.929;10.865;2.401;2.281;2.284
328;22.525;14.601;21.509;18.217;6.354;7.69;8.244;8.628;9.507;9.641;32.936;36.164;1.546;1.684;46.938;31.559;32.362;65.037;112.487;67.015;14.439;12.991;10.873;2.373;2.256;2.234
328.5;22.4;14.442;21.374;18.086;6.351;7.683;8.253;8.635;9.522;9.644;32.855;36.09;1.531;1.642;46.763;31.486;32.277;64.785;112.394;66.712;14.466;13.018;10.883;2.332;2.25;2.186
329;22.548;14.301;21.222;17.931;6.349;7.668;8.249;8.613;9.512;9.642;32.719;35.966;1.484;1.555;46.683;31.556;32.234;64.654;112.221;66.487;14.44;12.989;10.876;2.306;2.261;2.147
329.5;22.823;14.186;21.089;17.791;6.35;7.663;8.248;8.602;9.52;9.643;32.594;35.678;1.464;1.555;46.622;31.501;32.217;64.496;112.128;66.36;14.459;12.944;10.808;2.254;2.258;2.135
330;23.053;14.092;21.006;17.71;6.355;7.657;8.25;8.59;9.512;9.63;32.438;35.535;1.45;1.533;46.501;31.489;32.213;64.247;111.983;66.05;14.434;12.98;10.86;2.224;2.257;2.127
330.5;23.258;14.018;20.969;17.681;6.349;7.643;8.251;8.579;9.496;9.626;32.147;35.348;1.385;1.527;46.374;31.559;32.207;64.043;111.832;65.921;14.383;12.912;10.865;2.195;2.238;2.114
331;23.444;13.985;20.957;17.705;6.341;7.643;8.242;8.571;9.474;9.621;31.943;35.191;1.376;1.518;46.398;31.587;32.222;63.798;111.775;65.751;14.364;12.858;10.809;2.203;2.224;2.076
331.5;23.472;14.008;20.989;17.757;6.339;7.64;8.227;8.566;9.458;9.605;31.926;35.137;1.395;1.526;46.322;31.6;32.27;63.65;111.647;65.677;14.407;12.825;10.75;2.207;2.205;2.044
332;23.19;14.058;21.064;17.841;6.336;7.629;8.215;8.569;9.462;9.583;31.849;34.985;1.411;1.57;46.32;31.563;32.265;63.536;111.464;65.459;14.398;12.736;10.79;2.323;2.248;2.07
332.5;22.855;14.124;21.175;17.945;6.329;7.612;8.204;8.567;9.445;9.56;31.762;34.795;1.416;1.564;46.208;31.479;32.212;63.354;111.303;65.323;14.34;12.693;10.766;2.353;2.232;2.113
333;22.324;14.232;21.294;18.062;6.32;7.607;8.201;8.579;9.434;9.555;31.525;34.577;1.441;1.556;46.222;31.396;32.164;63.158;111.019;65.305;14.249;12.625;10.689;2.363;2.237;2.094
333.5;21.782;14.307;21.392;18.171;6.311;7.603;8.196;8.579;9.439;9.562;31.441;34.493;1.428;1.528;46.074;31.324;32.053;62.845;110.904;65.041;14.297;12.661;10.673;2.355;2.214;2.051
334;21.478;14.358;21.463;18.244;6.302;7.59;8.178;8.57;9.438;9.564;31.306;34.371;1.342;1.449;45.947;31.25;31.984;62.635;110.925;64.884;14.279;12.68;10.664;2.301;2.166;1.988
334.5;21.561;14.421;21.518;18.301;6.29;7.59;8.171;8.565;9.429;9.573;31.232;34.33;1.304;1.379;45.845;31.199;31.903;62.35;110.721;64.711;14.176;12.681;10.651;2.24;2.14;1.99
335;21.673;14.413;21.557;18.352;6.281;7.58;8.163;8.543;9.405;9.565;31.121;34.22;1.264;1.327;45.518;31.123;31.863;61.99;110.732;64.314;14.154;12.742;10.733;2.173;2.106;1.957
335.5;21.746;14.393;21.581;18.401;6.269;7.563;8.132;8.522;9.395;9.558;30.987;34.13;1.19;1.295;45.163;31.104;31.775;61.563;110.684;63.965;14.137;12.702;10.712;2.086;2.048;1.915
336;22.027;14.412;21.595;18.449;6.252;7.548;8.099;8.492;9.382;9.534;30.973;34.012;1.191;1.273;44.999;31.006;31.668;61.111;110.644;63.556;14.19;12.701;10.591;2.016;1.985;1.865
336.5;22.256;14.481;21.631;18.506;6.241;7.528;8.075;8.461;9.371;9.509;30.89;33.981;1.186;1.273;44.711;30.934;31.6;60.765;110.475;63.138;14.194;12.635;10.461;1.954;1.944;1.828
337;22.384;14.56;21.685;18.571;6.224;7.508;8.061;8.447;9.358;9.475;30.846;33.987;1.188;1.315;44.53;30.833;31.535;60.458;110.178;62.654;14.176;12.558;10.436;1.958;1.968;1.877
337.5;22.318;14.645;21.777;18.649;6.207;7.485;8.047;8.422;9.326;9.449;30.824;33.862;1.166;1.266;44.518;30.806;31.554;60.282;109.828;62.435;14.085;12.489;10.366;1.933;1.951;1.879
338;22.11;14.738;21.86;18.741;6.19;7.478;8.042;8.416;9.287;9.439;30.691;33.665;1.145;1.24;44.474;30.838;31.581;60.115;109.703;62.211;14.083;12.449;10.379;1.926;1.932;1.81
338.5;21.923;14.828;21.934;18.827;6.177;7.468;8.036;8.41;9.277;9.439;30.688;33.532;1.126;1.256;44.39;30.887;31.611;59.977;109.516;61.957;14.084;12.483;10.39;1.946;1.946;1.777
339;21.574;14.88;22.004;18.898;6.16;7.45;8.023;8.397;9.259;9.425;30.569;33.287;1.033;1.196;44.336;30.825;31.656;59.807;109.368;61.808;14.044;12.478;10.418;1.922;1.955;1.727
339.5;21.686;14.948;22.066;18.957;6.142;7.43;8.008;8.372;9.231;9.418;30.469;33.164;0.999;1.141;44.328;30.877;31.726;59.702;109.078;61.749;13.963;12.463;10.44;1.893;1.947;1.692
340;21.581;15;22.138;19.046;6.125;7.402;7.992;8.349;9.204;9.399;30.268;32.958;0.999;1.148;44.047;30.784;31.692;59.371;109.064;61.458;14.018;12.429;10.526;1.889;1.948;1.662
340.5;21.317;15.07;22.221;19.152;6.109;7.381;7.954;8.323;9.176;9.367;30.142;32.785;0.961;1.139;43.766;30.74;31.666;58.923;108.858;61.219;14.057;12.442;10.59;1.854;1.912;1.643
341;21.369;15.129;22.309;19.245;6.085;7.358;7.917;8.289;9.15;9.33;29.994;32.526;0.949;1.093;43.488;30.646;31.542;58.506;108.714;60.848;14.1;12.42;10.616;1.817;1.871;1.643
341.5;21.281;15.234;22.406;19.348;6.06;7.336;7.894;8.259;9.122;9.299;29.697;32.462;0.934;1.052;43.216;30.567;31.493;58.202;108.505;60.383;14.066;12.386;10.565;1.801;1.846;1.637
342;21.257;15.334;22.511;19.456;6.038;7.311;7.865;8.235;9.098;9.262;29.505;32.374;0.917;1.029;43.073;30.485;31.456;57.941;108.466;59.949;14.029;12.387;10.574;1.771;1.828;1.663
342.5;21.363;15.435;22.647;19.58;6.017;7.28;7.835;8.208;9.074;9.226;29.335;32.287;0.879;0.976;42.971;30.517;31.463;57.792;108.417;59.738;13.957;12.374;10.542;1.713;1.755;1.621
343;21.535;15.572;22.795;19.721;5.992;7.251;7.811;8.19;9.048;9.193;29.117;32.134;0.873;0.966;42.851;30.533;31.435;57.537;108.392;59.41;13.934;12.384;10.483;1.673;1.687;1.545
343.5;21.59;15.761;22.962;19.887;5.972;7.217;7.788;8.174;9.027;9.179;28.95;32.046;0.867;0.947;42.675;30.535;31.428;57.22;108.204;59.179;13.832;12.31;10.325;1.668;1.696;1.542
344;21.556;15.957;23.15;20.078;5.94;7.179;7.752;8.135;8.996;9.144;28.832;31.859;0.894;0.947;42.595;30.533;31.351;56.776;108.044;58.976;13.793;12.279;10.198;1.672;1.673;1.517
344.5;21.618;16.184;23.335;20.276;5.911;7.138;7.72;8.093;8.972;9.117;28.706;31.726;0.929;0.955;42.446;30.52;31.281;56.444;107.944;58.806;13.809;12.348;10.227;1.646;1.645;1.485
345;21.396;16.406;23.522;20.483;5.886;7.105;7.691;8.064;8.935;9.087;28.612;31.529;0.959;0.97;42.272;30.503;31.233;56.068;107.698;58.563;13.827;12.36;10.28;1.638;1.636;1.465
345.5;21.089;16.613;23.703;20.697;5.853;7.075;7.65;8.024;8.891;9.061;28.45;31.313;0.904;0.925;42.12;30.478;31.267;55.643;107.458;58.277;13.908;12.369;10.301;1.628;1.6;1.448
346;20.883;16.774;23.846;20.858;5.828;7.045;7.614;7.981;8.856;9.028;28.263;31.055;0.845;0.873;41.84;30.413;31.146;55.194;107.235;57.865;13.903;12.336;10.291;1.61;1.58;1.437
346.5;20.605;16.895;23.932;20.963;5.803;7.017;7.588;7.945;8.802;8.977;28.016;30.85;0.825;0.839;41.632;30.337;31.096;54.92;106.983;57.46;13.86;12.279;10.278;1.587;1.578;1.427
347;20.476;16.936;23.957;21.003;5.774;6.979;7.553;7.909;8.757;8.934;27.826;30.66;0.803;0.816;41.385;30.26;31.035;54.679;107.012;57.012;13.89;12.246;10.39;1.546;1.554;1.414
347.5;20.615;16.961;23.953;21.003;5.746;6.945;7.517;7.875;8.712;8.884;27.706;30.499;0.749;0.796;41.195;30.26;30.966;54.465;106.768;56.742;13.843;12.177;10.389;1.492;1.512;1.37
348;20.527;16.947;23.94;20.991;5.71;6.905;7.484;7.832;8.677;8.84;27.46;30.226;0.717;0.768;41.037;30.204;30.945;54.191;106.512;56.378;13.787;12.103;10.351;1.505;1.514;1.34
348.5;20.545;16.973;23.952;21.002;5.68;6.87;7.452;7.801;8.635;8.804;27.289;29.994;0.699;0.76;40.812;30.203;30.951;53.967;106.231;56.225;13.762;12.035;10.256;1.522;1.521;1.345
349;20.577;17.034;24.001;21.054;5.648;6.83;7.41;7.755;8.605;8.761;27.228;29.814;0.707;0.753;40.589;30.153;30.895;53.667;106.04;55.911;13.857;12.056;10.277;1.53;1.513;1.346
349.5;20.479;17.128;24.071;21.134;5.615;6.786;7.374;7.71;8.578;8.732;27.066;29.526;0.676;0.711;40.348;30.093;30.91;53.359;105.922;55.68;13.924;12.117;10.424;1.504;1.505;1.322
350;20.325;17.238;24.17;21.249;5.583;6.746;7.323;7.685;8.551;8.7;26.966;29.334;0.637;0.678;40.267;30.114;30.982;53.194;105.656;55.561;13.952;12.094;10.379;1.493;1.503;1.306
350.5;20.312;17.387;24.288;21.387;5.551;6.713;7.27;7.653;8.513;8.677;26.771;29.137;0.592;0.641;40.143;30.085;30.994;52.826;105.332;55.259;13.969;12.091;10.332;1.462;1.463;1.277
351;20.156;17.527;24.397;21.522;5.527;6.675;7.229;7.614;8.472;8.636;26.543;28.812;0.586;0.64;39.9;30.047;30.928;52.407;105.078;54.993;13.932;12.047;10.309;1.44;1.433;1.239
351.5;19.999;17.639;24.485;21.629;5.494;6.639;7.182;7.575;8.412;8.575;26.316;28.613;0.635;0.675;39.621;30.005;30.861;52.032;104.805;54.632;13.857;11.981;10.282;1.392;1.41;1.236
352;19.97;17.741;24.575;21.732;5.455;6.599;7.136;7.532;8.358;8.527;26.228;28.523;0.663;0.691;39.441;29.954;30.796;51.606;104.735;54.188;13.886;12.007;10.311;1.377;1.37;1.196
352.5;19.942;17.877;24.669;21.846;5.419;6.564;7.089;7.48;8.3;8.476;26.134;28.334;0.675;0.73;39.365;30;30.831;51.346;104.488;53.928;13.815;11.982;10.236;1.371;1.385;1.202
353;19.805;18.007;24.77;21.963;5.38;6.521;7.047;7.422;8.252;8.431;25.83;28.105;0.71;0.763;39.158;29.994;30.771;50.995;104.39;53.601;13.776;11.927;10.184;1.394;1.376;1.198
353.5;19.761;18.15;24.89;22.091;5.346;6.479;6.998;7.366;8.197;8.382;25.589;27.877;0.704;0.792;38.929;29.987;30.741;50.752;104.269;53.335;13.79;11.966;10.117;1.37;1.348;1.169
354;19.606;18.304;25.028;22.24;5.309;6.425;6.951;7.305;8.149;8.328;25.393;27.761;0.659;0.754;38.69;29.956;30.706;50.4;104.23;52.942;13.836;12.024;10.207;1.352;1.346;1.172
354.5;19.422;18.473;25.171;22.404;5.265;6.375;6.915;7.251;8.107;8.277;25.158;27.56;0.613;0.687;38.535;29.953;30.722;50.108;104.121;52.69;13.836;12.074;10.228;1.357;1.354;1.192
355;19.208;18.638;25.321;22.546;5.225;6.323;6.867;7.208;8.058;8.225;24.992;27.457;0.554;0.648;38.467;29.978;30.751;49.94;103.864;52.484;13.798;12.025;10.151;1.347;1.36;1.216
355.5;19.138;18.817;25.466;22.685;5.191;6.283;6.821;7.158;8.006;8.18;24.775;27.258;0.513;0.614;38.225;29.971;30.755;49.667;103.537;52.175;13.75;12.055;10.166;1.31;1.318;1.194
356;18.949;19.012;25.575;22.858;5.159;6.237;6.785;7.117;7.953;8.126;24.521;27.006;0.506;0.571;37.948;29.954;30.731;49.379;103.233;51.922;13.732;12.086;10.199;1.299;1.28;1.161
356.5;18.791;19.239;25.721;23.058;5.12;6.192;6.737;7.075;7.895;8.057;24.391;26.876;0.499;0.555;37.717;29.921;30.71;49.094;102.956;51.624;13.66;12.062;10.15;1.276;1.256;1.184
357;18.792;19.478;25.888;23.26;5.08;6.15;6.693;7.03;7.846;8.003;24.412;26.854;0.47;0.504;37.551;29.875;30.687;48.716;102.824;51.253;13.679;12.086;10.16;1.279;1.27;1.222
357.5;18.713;19.687;26.076;23.414;5.041;6.108;6.644;6.988;7.797;7.958;24.211;26.656;0.437;0.482;37.349;29.891;30.679;48.436;102.581;50.905;13.702;12.066;10.105;1.292;1.295;1.267
358;18.677;19.83;26.155;23.512;5.006;6.066;6.598;6.94;7.748;7.914;23.973;26.457;0.423;0.442;37.109;29.843;30.624;48.099;102.442;50.6;13.661;11.976;10.044;1.308;1.275;1.262
358.5;18.523;19.916;26.064;23.573;4.968;6.02;6.549;6.881;7.7;7.858;23.807;26.232;0.409;0.445;36.94;29.866;30.625;47.847;102.243;50.294;13.572;11.953;9.962;1.298;1.272;1.232
359;18.433;19.959;25.997;23.596;4.924;5.973;6.502;6.823;7.649;7.799;23.597;25.968;0.377;0.385;36.791;29.851;30.627;47.569;102.119;50.002;13.472;11.889;9.953;1.311;1.28;1.222
359.5;18.319;19.996;25.938;23.605;4.884;5.925;6.448;6.764;7.599;7.737;23.406;25.68;0.369;0.379;36.673;29.825;30.636;47.354;101.933;49.73;13.468;11.846;9.948;1.297;1.275;1.209
360;18.134;20.075;26.119;23.653;4.839;5.87;6.388;6.707;7.544;7.682;23.155;25.42;0.344;0.396;36.47;29.778;30.623;47.125;101.705;49.439;13.428;11.811;9.89;1.283;1.243;1.183
360.5;17.99;20.246;26.172;23.83;4.794;5.817;6.323;6.644;7.482;7.623;22.894;25.113;0.356;0.419;36.219;29.779;30.656;46.937;101.484;49.305;13.35;11.795;9.866;1.257;1.199;1.12
361;17.813;20.536;26.281;24.097;4.747;5.756;6.259;6.581;7.414;7.557;22.668;24.845;0.382;0.418;35.945;29.745;30.621;46.664;101.23;49.181;13.303;11.764;9.878;1.243;1.154;1.071
361.5;17.676;20.847;26.441;24.376;4.696;5.697;6.191;6.522;7.344;7.483;22.54;24.763;0.381;0.413;35.786;29.672;30.614;46.361;101.142;48.963;13.352;11.723;9.921;1.212;1.119;1.072
362;17.562;21.096;26.705;24.571;4.646;5.638;6.133;6.466;7.283;7.418;22.468;24.719;0.367;0.401;35.566;29.7;30.594;45.984;101.005;48.734;13.452;11.784;9.985;1.189;1.113;1.08
362.5;17.411;21.221;26.783;24.63;4.592;5.582;6.069;6.412;7.216;7.358;22.32;24.641;0.371;0.419;35.395;29.732;30.609;45.682;100.773;48.5;13.506;11.809;10.006;1.154;1.088;1.056
363;17.245;21.218;26.636;24.574;4.542;5.529;6.014;6.357;7.15;7.295;22.268;24.622;0.373;0.396;35.262;29.744;30.634;45.458;100.698;48.326;13.514;11.792;10.008;1.15;1.043;1.037
363.5;17.102;21.103;26.334;24.39;4.495;5.48;5.96;6.296;7.092;7.231;22.157;24.517;0.37;0.419;35.173;29.791;30.602;45.246;100.451;48.144;13.546;11.79;10.036;1.153;1.048;1.011
364;17.023;20.864;26.081;24.096;4.445;5.429;5.903;6.233;7.021;7.162;21.906;24.237;0.355;0.391;35.037;29.738;30.549;44.976;100.329;47.854;13.583;11.823;10.17;1.146;1.055;0.994
364.5;16.906;20.566;25.879;23.744;4.399;5.373;5.845;6.175;6.956;7.099;21.686;23.924;0.348;0.42;34.754;29.657;30.448;44.637;100.174;47.398;13.72;11.905;10.262;1.144;1.056;0.984
365;16.797;20.297;25.786;23.445;4.353;5.32;5.788;6.112;6.896;7.032;21.385;23.537;0.346;0.43;34.46;29.537;30.359;44.323;100.017;46.995;13.699;11.932;10.223;1.159;1.061;0.987
365.5;16.643;20.123;25.469;23.24;4.304;5.265;5.725;6.039;6.827;6.959;21.076;23.146;0.34;0.412;34.204;29.445;30.307;44.072;99.779;46.677;13.613;11.887;10.187;1.186;1.105;0.987
366;16.481;20.011;25.351;23.088;4.255;5.202;5.659;5.964;6.752;6.879;20.835;22.9;0.341;0.392;33.897;29.333;30.258;43.694;99.456;46.283;13.563;11.874;10.154;1.192;1.123;1.002
366.5;16.348;19.946;25.254;22.971;4.204;5.134;5.594;5.9;6.674;6.799;20.608;22.731;0.356;0.381;33.651;29.256;30.256;43.3;99.254;45.927;13.558;11.835;10.126;1.153;1.138;1.021
367;16.21;19.903;25.255;22.866;4.153;5.062;5.531;5.834;6.598;6.728;20.48;22.51;0.344;0.405;33.422;29.295;30.272;42.92;99.132;45.502;13.484;11.803;10.103;1.139;1.179;1.008
367.5;16.017;19.865;25.141;22.768;4.099;4.997;5.451;5.769;6.515;6.657;20.407;22.331;0.361;0.447;33.261;29.317;30.301;42.672;98.945;45.222;13.374;11.732;10.098;1.096;1.179;0.998
368;15.75;19.835;25.03;22.693;4.049;4.937;5.383;5.705;6.443;6.588;20.369;22.184;0.365;0.459;33.137;29.318;30.259;42.412;98.755;44.965;13.345;11.721;10.052;1.11;1.189;1.011
368.5;15.585;19.831;24.969;22.614;3.996;4.872;5.311;5.635;6.374;6.518;20.225;22.037;0.358;0.477;33.027;29.299;30.189;42.177;98.598;44.814;13.319;11.734;10.067;1.115;1.191;1.009
369;15.439;19.818;25.002;22.553;3.936;4.803;5.24;5.553;6.292;6.44;20.063;21.849;0.376;0.469;32.947;29.304;30.115;41.957;98.444;44.618;13.324;11.724;10.103;1.106;1.159;0.968
369.5;15.283;19.806;24.956;22.504;3.882;4.738;5.175;5.481;6.221;6.366;19.875;21.571;0.384;0.464;32.81;29.31;30.006;41.717;98.21;44.447;13.346;11.73;10.062;1.078;1.092;0.906
370;15.109;19.838;24.893;22.493;3.828;4.67;5.108;5.404;6.15;6.283;19.643;21.308;0.4;0.461;32.625;29.246;29.999;41.583;98.015;44.324;13.32;11.71;10.009;1.057;1.078;0.885
370.5;14.914;19.924;24.812;22.532;3.772;4.601;5.038;5.327;6.076;6.201;19.351;21.113;0.358;0.396;32.409;29.248;30.021;41.45;97.644;44.115;13.301;11.731;9.92;1.061;1.081;0.862
371;14.749;20.024;24.882;22.592;3.714;4.535;4.969;5.255;5.998;6.119;19.115;20.999;0.357;0.382;32.156;29.244;30.097;41.197;97.261;43.771;13.325;11.754;9.827;1.072;1.068;0.874
371.5;14.611;20.161;24.892;22.674;3.654;4.463;4.906;5.187;5.915;6.045;18.768;20.803;0.401;0.406;31.887;29.235;30.168;40.865;96.944;43.382;13.287;11.718;9.74;1.073;1.071;0.882
372;14.451;20.284;24.95;22.733;3.597;4.403;4.842;5.12;5.841;5.973;18.557;20.546;0.406;0.42;31.649;29.253;30.227;40.584;96.779;42.906;13.292;11.674;9.808;1.09;1.068;0.838
372.5;14.249;20.392;24.824;22.771;3.539;4.349;4.769;5.057;5.763;5.898;18.467;20.336;0.387;0.382;31.527;29.275;30.315;40.408;96.515;42.674;13.287;11.61;9.852;1.101;1.072;0.855
373;14.03;20.476;24.805;22.794;3.483;4.287;4.699;4.987;5.685;5.822;18.426;20.224;0.383;0.396;31.419;29.257;30.308;40.151;96.344;42.444;13.329;11.652;9.852;1.113;1.079;0.871
373.5;13.886;20.57;24.64;22.813;3.426;4.219;4.628;4.915;5.606;5.743;18.403;20.191;0.362;0.394;31.326;29.236;30.282;39.904;96.319;42.3;13.274;11.638;9.88;1.107;1.048;0.853
374;13.729;20.663;24.64;22.829;3.368;4.149;4.552;4.839;5.525;5.658;18.473;20.123;0.339;0.378;31.159;29.194;30.206;39.64;96.131;42.165;13.339;11.591;9.939;1.089;1.041;0.839
374.5;13.533;20.771;24.451;22.87;3.311;4.083;4.475;4.767;5.451;5.573;18.393;19.928;0.301;0.378;30.997;29.117;30.086;39.374;96.125;42.044;13.32;11.556;9.985;1.028;1.017;0.824
375;13.33;20.922;24.284;22.947;3.249;4.006;4.398;4.691;5.374;5.482;18.278;19.74;0.3;0.368;30.743;29.026;30.034;39.132;96.084;41.851;13.339;11.593;10.04;1.003;1.016;0.821
375.5;13.138;21.118;24.14;23.091;3.193;3.932;4.32;4.613;5.294;5.399;18.076;19.592;0.252;0.303;30.471;29.029;29.977;38.861;95.871;41.586;13.391;11.677;10.001;0.997;1.049;0.839
376;12.977;21.362;24.034;23.284;3.136;3.864;4.248;4.534;5.213;5.324;17.894;19.383;0.21;0.274;30.208;28.993;29.967;38.543;95.582;41.179;13.395;11.733;9.905;1.026;1.054;0.89
376.5;12.807;21.646;23.935;23.521;3.079;3.79;4.179;4.455;5.131;5.247;17.596;19.114;0.238;0.287;29.914;28.966;29.981;38.17;95.191;40.837;13.359;11.763;9.84;1.048;1.048;0.924
377;12.626;21.937;23.677;23.746;3.022;3.725;4.108;4.381;5.057;5.174;17.446;18.863;0.238;0.254;29.69;28.928;29.982;37.884;94.93;40.526;13.357;11.739;9.893;1.032;1.009;0.92
377.5;12.447;22.193;23.203;23.945;2.965;3.654;4.031;4.306;4.979;5.101;17.234;18.621;0.22;0.222;29.602;28.987;30.012;37.702;94.603;40.345;13.326;11.631;9.917;1.048;1.033;0.953
378;12.293;22.393;23.157;24.07;2.912;3.58;3.959;4.228;4.901;5.021;17.062;18.471;0.244;0.256;29.485;29.015;29.975;37.445;94.426;40.194;13.248;11.604;9.869;1.063;1.047;1.009
378.5;12.132;22.532;22.934;24.148;2.86;3.511;3.89;4.157;4.826;4.944;16.839;18.284;0.266;0.299;29.35;29.035;29.977;37.168;94.181;39.956;13.175;11.572;9.839;1.084;1.057;1.033
379;11.974;22.624;22.758;24.166;2.804;3.444;3.82;4.089;4.755;4.862;16.721;18.113;0.299;0.335;29.146;28.965;29.902;36.926;94.136;39.81;13.168;11.55;9.871;1.086;1.089;1.049
379.5;11.802;22.677;22.6;24.202;2.75;3.384;3.748;4.028;4.686;4.787;16.371;17.953;0.331;0.363;28.962;28.907;29.797;36.734;94.157;39.616;13.045;11.472;9.83;1.066;1.095;1.039
380;11.625;22.707;22.488;24.171;2.692;3.32;3.681;3.958;4.611;4.708;16.216;17.88;0.369;0.375;28.796;28.884;29.726;36.577;94.089;39.478;12.984;11.433;9.801;1.085;1.096;1.005
380.5;11.457;22.746;22.365;24.016;2.636;3.26;3.616;3.89;4.536;4.631;16.064;17.786;0.373;0.382;28.651;28.91;29.723;36.412;93.888;39.311;13.008;11.406;9.692;1.09;1.113;0.969
381;11.288;22.801;22.49;23.915;2.582;3.204;3.55;3.826;4.462;4.562;15.98;17.656;0.338;0.379;28.564;28.933;29.759;36.268;93.698;39.194;12.978;11.359;9.545;1.118;1.09;0.937
381.5;11.102;22.897;22.514;23.88;2.524;3.145;3.48;3.764;4.384;4.484;15.903;17.52;0.332;0.366;28.393;28.906;29.754;36.046;93.359;39.096;12.964;11.256;9.467;1.106;1.043;0.883
382;10.929;23.01;22.309;23.896;2.463;3.081;3.402;3.689;4.297;4.406;15.909;17.383;0.302;0.351;28.138;28.845;29.709;35.81;93.042;38.842;13.012;11.279;9.493;1.086;1.029;0.845
382.5;10.75;23.148;22.043;24.001;2.404;3.013;3.323;3.611;4.208;4.325;15.747;17.121;0.292;0.364;27.952;28.848;29.719;35.585;92.777;38.624;13.052;11.258;9.495;1.107;1.056;0.833
383;10.591;23.308;22.032;24.108;2.344;2.944;3.251;3.53;4.118;4.24;15.599;16.84;0.257;0.353;27.689;28.802;29.701;35.236;92.624;38.258;13.064;11.281;9.514;1.125;1.079;0.878
383.5;10.416;23.484;21.858;24.25;2.288;2.874;3.186;3.449;4.034;4.157;15.417;16.601;0.271;0.375;27.433;28.757;29.705;34.911;92.513;37.927;13.116;11.396;9.537;1.103;1.1;0.897
