Wavelength;4_21_2023;4_21_2023;5_12_2023;5_12_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023
203.5;-0.192;-0.445;-0.421;-0.421;4.891;3.007;2.396;3.63;1.027;1.633;189.48;204.239;19.683;20.326;223.212;142.269;140.861;482.061;144.176;472.642;63.687;60.959;44.413;20.93;21.706;21.806
204;-0.139;-0.436;-0.401;-0.401;4.815;2.828;2.422;3.38;0.869;1.613;186.622;201.433;19.416;20.098;220.447;139.615;138.763;480.364;144.216;468.623;62.331;59.568;43.724;20.61;21.438;21.646
204.5;-0.127;-0.431;-0.399;-0.399;4.624;2.744;2.458;2.856;0.556;1.499;184.201;197.919;18.961;19.875;216.995;136.758;136.361;476.817;143.778;465.043;61.291;58.89;43.168;20.197;21.068;21.4
205;-0.16;-0.433;-0.391;-0.391;4.489;2.668;2.275;2.649;0.682;1.361;181.521;194.536;18.661;19.438;213.492;133.489;133.644;467.618;143.273;459.895;59.975;58.338;42.605;19.852;20.709;21.048
205.5;-0.229;-0.434;-0.371;-0.371;4.389;2.908;1.843;2.299;0.805;0.905;178.438;191.709;18.583;19.1;209.582;130.622;130.433;458.276;143.571;453.561;58.712;57.603;42.099;19.615;20.356;20.732
206;-0.335;-0.433;-0.348;-0.348;4.366;2.878;1.811;1.948;0.734;0.817;175.445;188.597;18.588;18.747;205.839;127.891;127.355;455.72;143.907;447.963;57.741;56.642;41.413;19.563;19.982;20.393
206.5;-0.415;-0.428;-0.337;-0.337;4.407;2.848;1.478;1.511;0.713;0.514;172.099;185.922;18.269;18.53;202.783;125.462;124.747;449.049;144.206;441.473;56.902;55.761;40.807;19.329;19.621;20.089
207;-0.452;-0.423;-0.331;-0.331;4.5;2.779;1.431;1.263;0.386;0.053;169.549;182.802;17.907;18.242;199.793;123.534;122.155;440.688;145.125;433.787;56.186;54.633;39.791;18.992;19.285;19.712
207.5;-0.461;-0.41;-0.331;-0.331;4.505;2.626;1;1.356;0.272;-0.109;166.191;179.846;17.53;17.853;196.796;121.69;120.071;431.736;145.539;428.115;55.378;53.409;39.026;18.676;18.977;19.472
208;-0.393;-0.397;-0.318;-0.319;4.69;2.652;0.964;1.604;0.395;-0.168;163.428;176.988;17.14;17.419;193.652;119.824;117.72;427.774;145.933;421.515;54.204;52.264;38.187;18.362;18.621;19.027
208.5;-0.361;-0.38;-0.326;-0.315;4.926;2.522;0.87;1.415;0.427;-0.129;160.104;173.83;16.642;16.904;190.138;117.747;115.619;422.449;146.166;415.934;52.744;50.904;37.404;17.932;18.21;18.629
209;-0.33;-0.359;-0.303;-0.301;4.979;2.255;0.931;1.116;0.028;0.084;156.705;170.563;16.262;16.627;186.335;114.905;112.814;415.252;145.397;407.919;51.583;49.667;36.705;17.35;17.642;18.051
209.5;-0.321;-0.356;-0.297;-0.308;4.913;1.948;0.755;0.882;-0.135;-0.047;153.145;167.01;15.614;16.109;182.748;111.846;110.132;409.133;144.364;400.477;50.628;48.685;35.918;16.894;17.189;17.537
210;-0.311;-0.348;-0.288;-0.307;5.038;1.984;0.738;1.029;-0.042;0.051;150.013;163.579;15.088;15.511;179.249;109.082;107.674;401.554;143.518;392.799;49.276;47.559;35.27;16.308;16.654;16.905
210.5;-0.31;-0.345;-0.271;-0.296;5.173;2.16;0.634;1.179;-0.073;0.04;147.233;160.061;14.619;15.077;175.982;106.688;105.142;395.721;143.332;387.06;48.371;46.33;34.464;15.775;16.204;16.473
211;-0.316;-0.343;-0.258;-0.286;5.361;2.118;1.088;1.309;-0.124;0.243;144.411;156.799;14.302;14.682;172.995;103.856;102.856;390.268;142.679;381.173;47.529;45.227;33.801;15.28;15.666;15.986
211.5;-0.321;-0.337;-0.252;-0.279;5.545;2.488;1.294;1.531;-0.242;0.109;141.58;154.217;13.825;14.291;169.751;101.378;100.532;382.208;142.521;373.171;46.952;44.266;33.268;14.853;15.253;15.629
212;-0.329;-0.33;-0.253;-0.276;5.813;2.745;1.591;1.885;-0.191;-0.171;139.228;151.469;13.55;13.97;166.751;99.557;98.691;377.775;142.57;367.107;45.9;43.316;32.561;14.627;14.976;15.273
212.5;-0.345;-0.331;-0.26;-0.276;6.107;3.037;1.882;2.452;-0.051;-0.113;136.773;148.778;13.328;13.628;163.464;97.642;96.949;370.905;142.21;361.766;44.743;42.478;31.836;14.534;14.854;15.151
213;-0.324;-0.324;-0.268;-0.273;6.383;3.582;2.533;3.02;0.078;0.389;134.441;145.835;13.096;13.267;160.326;95.837;95.151;366.393;142.399;355.063;43.681;41.732;31.096;14.367;14.63;14.765
213.5;-0.322;-0.322;-0.284;-0.273;6.718;3.909;2.84;3.041;0.266;0.666;132.132;143.245;12.891;12.961;157.357;93.979;93.638;359.562;142.677;350.894;42.743;40.89;30.366;14.229;14.392;14.438
214;-0.317;-0.317;-0.278;-0.278;7.079;4.17;3.355;3.15;0.411;0.907;129.312;140.727;12.721;12.667;154.581;91.668;91.493;352.408;142.408;345.779;41.763;40.432;29.775;14.017;14.121;14.092
214.5;-0.325;-0.325;-0.292;-0.292;7.431;4.277;3.469;3.452;0.62;1.295;126.842;138.162;12.321;12.168;152.331;89.942;89.708;346.081;142.399;339.974;41.189;39.658;29.207;13.883;13.815;13.821
215;-0.319;-0.319;-0.295;-0.295;7.918;4.741;3.709;3.655;1.212;1.955;124.633;135.781;12.064;11.916;150.439;88.344;87.863;339.365;142.587;334.694;40.566;38.878;28.844;13.496;13.488;13.447
