t;Extract;Cext;Cag;Rt;A_405;A_450;A_492;A_630
0;A;1.4;1;10;0.315;0.335;0.34;0.356
0;A;1.4;2;10;0.24;0.249;0.241;0.256
0;A;1.4;5;10;0.306;0.373;0.375;0.387
0;A;1.4;1;10;0.319;0.42;0.412;0.414
0;A;1.4;4;10;0.325;0.365;0.366;0.372
0;A;1.4;5;10;0.267;0.303;0.308;0.31
0;A;1.4;3;10;0.366;0.461;0.463;0.466
0;A;1.4;4;10;0.363;0.467;0.467;0.466
0;A;1.4;2;10;0.438;0.456;0.449;0.463
0;A;1.4;3;10;0.296;0.304;0.309;0.319
0;A;1.4;1;80;0.425;0.539;0.555;0.561
0;A;1.4;2;80;0.418;0.55;0.553;0.553
0;A;1.4;5;80;0.605;0.648;0.662;0.677
0;A;1.4;1;80;0.483;0.527;0.538;0.545
0;A;1.4;4;80;0.478;0.611;0.613;0.62
0;A;1.4;5;80;0.417;0.554;0.554;0.556
0;A;1.4;3;80;0.379;0.358;0.367;0.386
0;A;1.4;4;80;0.284;0.298;0.302;0.31
0;A;1.4;2;80;0.366;0.461;0.47;0.47
0;A;1.4;3;80;0.378;0.504;0.507;0.51
0;A;1.4;1;40;0.656;0.761;0.796;0.819
0;A;1.4;2;40;0.604;0.678;0.702;0.73
0;A;1.4;5;40;0.535;0.723;0.739;0.754
0;A;1.4;1;40;0.493;0.697;0.716;0.738
0;A;1.4;4;40;0.474;0.488;0.494;0.514
0;A;1.4;5;40;0.283;0.287;0.294;0.29
0;A;1.4;3;40;0.953;1.1;1.136;1.167
0;A;1.4;4;40;0.942;1.114;1.145;1.185
0;A;1.4;2;40;0.709;0.735;0.748;0.755
0;A;1.4;3;40;0.799;0.832;0.845;0.858
0;A;1.4;1;100;1.062;1.233;1.268;1.304
0;A;1.4;2;100;0.998;1.183;1.215;1.242
0;A;1.4;5;100;0.296;0.296;0.303;0.312
0;A;1.4;1;100;0.229;0.246;0.251;0.258
0;A;1.4;4;100;1.049;1.245;1.288;1.329
0;A;1.4;5;100;0.91;1.173;1.23;1.28
0;A;1.4;3;100;0.801;0.822;0.844;0.864
0;A;1.4;4;100;0.881;0.894;0.914;0.931
0;A;1.4;2;100;1.406;1.532;1.563;1.591
0;A;1.4;3;100;1.387;1.522;1.554;1.582
10;A;1.4;1;10;0.213;0.208;0.23;0.309
10;A;1.4;2;10;0.283;0.307;0.332;0.447
10;A;1.4;5;10;0.223;0.248;0.286;0.324
10;A;1.4;1;10;0.183;0.171;0.175;0.247
10;A;1.4;4;10;0.193;0.198;0.2;0.28
10;A;1.4;5;10;0.154;0.157;0.158;0.24
10;A;1.4;3;10;0.151;0.152;0.168;0.166
10;A;1.4;4;10;0.157;0.171;0.185;0.191
10;A;1.4;2;10;0.207;0.184;0.186;0.216
10;A;1.4;3;10;0.203;0.178;0.172;0.212
10;A;1.4;1;80;0.168;0.187;0.219;0.275
10;A;1.4;2;80;0.279;0.313;0.345;0.543
10;A;1.4;5;80;0.58;0.586;0.607;1.35
10;A;1.4;1;80;0.264;0.212;0.2;0.29
10;A;1.4;4;80;0.605;0.56;0.544;1.228
10;A;1.4;5;80;0.592;0.56;0.543;1.339
10;A;1.4;3;80;0.383;0.377;0.329;0.411
10;A;1.4;4;80;0.432;0.416;0.391;0.483
10;A;1.4;2;80;0.329;0.318;0.304;0.393
10;A;1.4;3;80;0.31;0.307;0.288;0.378
10;A;1.4;1;40;0.153;0.156;0.182;0.176
10;A;1.4;2;40;0.247;0.257;0.279;0.324
10;A;1.4;5;40;0.313;0.331;0.348;0.708
10;A;1.4;1;40;0.111;0.103;0.103;0.114
10;A;1.4;4;40;0.301;0.309;0.314;0.72
10;A;1.4;5;40;0.318;0.329;0.338;0.785
10;A;1.4;3;40;0.285;0.288;0.309;0.368
10;A;1.4;4;40;0.238;0.241;0.261;0.304
10;A;1.4;2;40;0.294;0.274;0.281;0.352
10;A;1.4;3;40;0.262;0.237;0.232;0.3
10;A;1.4;1;100;0.115;0.116;0.147;0.134
10;A;1.4;2;100;0.215;0.225;0.249;0.328
10;A;1.4;5;100;0.559;0.578;0.61;1.325
10;A;1.4;1;100;0.144;0.111;0.088;0.109
10;A;1.4;4;100;0.411;0.383;0.38;0.732
10;A;1.4;5;100;0.572;0.548;0.551;1.27
10;A;1.4;3;100;0.387;0.379;0.357;0.452
10;A;1.4;4;100;0.38;0.372;0.363;0.465
10;A;1.4;2;100;0.36;0.351;0.343;0.447
10;A;1.4;3;100;0.366;0.353;0.375;0.505
20;A;1.4;1;10;0.328;0.377;;0.388
20;A;1.4;2;10;0.496;0.542;;0.53
20;A;1.4;5;10;0.322;0.343;;0.33
20;A;1.4;1;10;0.263;0.31;;0.321
20;A;1.4;4;10;0.297;0.329;;0.322
20;A;1.4;5;10;0.245;0.297;;0.301
20;A;1.4;3;10;0.169;0.166;;0.165
20;A;1.4;4;10;0.191;0.192;;0.178
20;A;1.4;2;10;0.226;0.222;;0.24
20;A;1.4;3;10;0.217;0.216;;0.238
20;A;1.4;1;80;0.301;0.343;;0.334
20;A;1.4;2;80;0.607;0.706;;0.686
20;A;1.4;5;80;1.463;1.774;;1.772
20;A;1.4;1;80;0.301;0.346;;0.376
20;A;1.4;4;80;1.325;1.601;;1.632
20;A;1.4;5;80;1.45;1.786;;1.807
20;A;1.4;3;80;0.425;0.475;;0.481
20;A;1.4;4;80;0.502;0.575;;0.578
20;A;1.4;2;80;0.416;0.481;;0.48
20;A;1.4;3;80;0.393;0.443;;0.453
20;A;1.4;1;40;0.172;0.165;;0.164
20;A;1.4;2;40;0.336;0.336;;0.36
