t;Extract;Cext;Cag;Rt;A_405;A_450;A_492;A_630
20;A;1.4;5;40;0.735;0.742;;0.913
20;A;1.4;1;40;0.115;0.113;;0.117
20;A;1.4;4;40;0.774;0.768;;0.982
20;A;1.4;5;40;0.829;0.826;;1.038
20;A;1.4;3;40;0.382;0.373;;0.397
20;A;1.4;4;40;0.31;0.298;;0.326
20;A;1.4;2;40;0.361;0.362;;0.379
20;A;1.4;3;40;0.313;0.316;;0.335
20;A;1.4;1;100;0.131;0.123;;0.12
20;A;1.4;2;100;0.332;0.322;;0.365
20;A;1.4;5;100;1.422;1.418;;1.727
20;A;1.4;1;100;0.119;0.128;;0.142
20;A;1.4;4;100;0.792;0.823;;1.024
20;A;1.4;5;100;1.379;1.388;;1.701
20;A;1.4;3;100;0.47;0.475;;0.535
20;A;1.4;4;100;0.484;0.489;;0.559
20;A;1.4;2;100;0.466;0.467;;0.513
20;A;1.4;3;100;0.515;0.506;;0.554
30;A;1.4;1;10;0.413;0.407;;0.423
30;A;1.4;2;10;0.533;0.558;;0.555
30;A;1.4;5;10;0.322;0.328;;0.316
30;A;1.4;1;10;0.341;0.334;;0.345
30;A;1.4;4;10;0.351;0.338;;0.342
30;A;1.4;5;10;0.321;0.311;;0.313
30;A;1.4;3;10;0.168;0.175;;0.193
30;A;1.4;4;10;0.19;0.199;;0.217
30;A;1.4;2;10;0.232;0.247;;0.27
30;A;1.4;3;10;0.239;0.254;;0.288
30;A;1.4;1;80;0.34;0.435;;0.439
30;A;1.4;2;80;0.784;0.839;;0.839
30;A;1.4;5;80;1.816;1.876;;1.873
30;A;1.4;1;80;0.382;0.458;;0.487
30;A;1.4;4;80;1.63;1.737;;1.668
30;A;1.4;5;80;1.728;1.898;;1.766
30;A;1.4;3;80;0.526;0.559;;0.572
30;A;1.4;4;80;0.628;0.66;;0.67
30;A;1.4;2;80;0.515;0.558;;0.574
30;A;1.4;3;80;0.484;0.533;;0.55
30;A;1.4;1;40;0.162;0.164;;0.158
30;A;1.4;2;40;0.388;0.431;;0.427
30;A;1.4;5;40;0.953;0.95;;0.946
30;A;1.4;1;40;0.132;0.124;;0.128
30;A;1.4;4;40;1.05;1.013;;1.013
30;A;1.4;5;40;1.093;1.083;;1.077
30;A;1.4;3;40;0.405;0.451;;0.448
30;A;1.4;4;40;0.33;0.363;;0.363
30;A;1.4;2;40;0.389;0.422;;0.437
30;A;1.4;3;40;0.352;0.383;;0.406
30;A;1.4;1;100;0.127;0.125;;0.129
30;A;1.4;2;100;0.374;0.473;;0.474
30;A;1.4;5;100;1.729;1.86;;1.812
30;A;1.4;1;100;0.166;0.152;;0.181
30;A;1.4;4;100;1.105;1.207;;1.237
30;A;1.4;5;100;1.704;1.851;;1.771
30;A;1.4;3;100;0.578;0.617;;0.626
30;A;1.4;4;100;0.602;0.641;;0.649
30;A;1.4;2;100;0.552;0.59;;0.602
30;A;1.4;3;100;0.572;0.647;;0.646
40;A;1.4;1;10;0.267;0.431;0.415;0.427
40;A;1.4;2;10;0.311;0.562;0.567;0.571
40;A;1.4;5;10;0.24;0.318;0.335;0.337
40;A;1.4;1;10;0.223;0.344;0.351;0.366
40;A;1.4;4;10;0.222;0.348;0.363;0.362
40;A;1.4;5;10;0.179;0.317;0.323;0.321
40;A;1.4;3;10;0.155;0.184;0.179;0.178
40;A;1.4;4;10;0.172;0.217;0.211;0.209
40;A;1.4;2;10;0.202;0.268;0.252;0.252
40;A;1.4;3;10;0.198;0.282;0.259;0.259
40;A;1.4;1;80;0.223;0.437;0.445;0.431
40;A;1.4;2;80;0.369;0.909;0.903;0.904
40;A;1.4;5;80;0.642;1.894;1.941;1.961
40;A;1.4;1;80;0.255;0.485;0.455;0.47
40;A;1.4;4;80;0.65;1.677;1.76;1.791
40;A;1.4;5;80;0.628;1.774;1.854;1.905
40;A;1.4;3;80;0.405;0.586;0.607;0.618
40;A;1.4;4;80;0.491;0.685;0.695;0.688
40;A;1.4;2;80;0.357;0.581;0.579;0.575
40;A;1.4;3;80;0.337;0.562;0.558;0.557
40;A;1.4;1;40;0.157;0.163;0.166;0.164
40;A;1.4;2;40;0.273;0.448;0.446;0.443
40;A;1.4;5;40;0.345;0.977;0.983;0.98
40;A;1.4;1;40;0.123;0.13;0.131;0.125
40;A;1.4;4;40;0.339;1.046;1.058;1.058
40;A;1.4;5;40;0.357;1.108;1.116;1.113
40;A;1.4;3;40;0.31;0.459;0.459;0.456
40;A;1.4;4;40;0.248;0.361;0.365;0.367
40;A;1.4;2;40;0.293;0.444;0.427;0.424
40;A;1.4;3;40;0.268;0.414;0.396;0.392
40;A;1.4;1;100;0.128;0.132;0.132;0.123
40;A;1.4;2;100;0.226;0.477;0.471;0.471
40;A;1.4;5;100;0.633;1.842;1.898;1.957
40;A;1.4;1;100;0.144;0.186;0.165;0.156
40;A;1.4;4;100;0.518;1.328;1.33;1.332
40;A;1.4;5;100;0.655;1.791;1.877;1.957
40;A;1.4;3;100;0.447;0.64;0.646;0.634
40;A;1.4;4;100;0.451;0.659;0.664;0.657
40;A;1.4;2;100;0.399;0.619;0.616;0.612
40;A;1.4;3;100;0.399;0.645;0.687;0.671
50;A;1.4;1;10;0.251;0.444;0.436;0.442
50;A;1.4;2;10;0.318;0.573;0.576;0.588
50;A;1.4;5;10;0.242;0.342;0.342;0.344
50;A;1.4;1;10;0.187;0.377;0.376;0.372
50;A;1.4;4;10;0.201;0.354;0.375;0.362
50;A;1.4;5;10;0.167;0.326;0.337;0.332
50;A;1.4;3;10;0.155;0.18;0.184;0.188
50;A;1.4;4;10;0.166;0.209;0.215;0.215
50;A;1.4;2;10;0.215;0.255;0.261;0.258
50;A;1.4;3;10;0.207;0.261;0.27;0.271
50;A;1.4;1;80;0.206;0.444;0.44;0.446
50;A;1.4;2;80;0.367;0.912;0.919;0.91
50;A;1.4;5;80;0.639;2.006;1.892;1.958
50;A;1.4;1;80;0.253;0.469;0.471;0.477
50;A;1.4;4;80;0.644;1.816;1.7;1.754
50;A;1.4;5;80;0.626;1.937;1.776;1.864
50;A;1.4;3;80;0.381;0.621;0.627;0.593
50;A;1.4;4;80;0.445;0.7;0.713;0.307
50;A;1.4;2;80;0.339;0.583;0.598;0.584
50;A;1.4;3;80;0.324;0.559;0.572;0.561
50;A;1.4;1;40;0.155;0.165;0.166;0.157
50;A;1.4;2;40;0.274;0.464;0.466;0.462
50;A;1.4;5;40;0.339;0.998;1.007;1.001
50;A;1.4;1;40;0.114;0.128;0.139;0.11
50;A;1.4;4;40;0.326;1.106;1.099;1.095
50;A;1.4;5;40;0.349;1.138;1.141;1.138
50;A;1.4;3;40;0.305;0.456;0.446;0.45
50;A;1.4;4;40;0.253;0.386;0.373;0.375
50;A;1.4;2;40;0.299;0.426;0.433;0.426
50;A;1.4;3;40;0.269;0.392;0.401;0.402
50;A;1.4;1;100;0.118;0.129;0.134;0.122
50;A;1.4;2;100;0.222;0.47;0.477;0.468
50;A;1.4;5;100;0.64;1.991;1.834;1.918
50;A;1.4;1;100;0.136;0.158;0.182;0.153
50;A;1.4;4;100;0.529;1.378;1.393;1.391
50;A;1.4;5;100;0.658;1.982;1.77;1.875
50;A;1.4;3;100;0.383;0.639;0.651;0.647
50;A;1.4;4;100;0.404;0.656;0.682;0.669
50;A;1.4;2;100;0.382;0.621;0.634;0.623
50;A;1.4;3;100;0.376;0.652;0.684;0.674
0;B;1.4;3;10;0.148;0.145;0.142;0.154
0;B;1.4;4;10;0.226;0.249;0.244;0.248
0;B;1.4;2;10;0.459;0.521;0.513;0.519
0;B;1.4;3;10;0.431;0.493;0.487;0.495
0;B;1.4;1;10;0.318;0.33;0.332;0.336
0;B;1.4;2;10;0.362;0.4;0.402;0.402
0;B;1.4;5;10;0.468;0.53;0.527;0.539
0;B;1.4;1;10;0.466;0.534;0.532;0.538
0;B;1.4;4;10;0.17;0.173;0.177;0.175
0;B;1.4;5;10;0.216;0.23;0.234;0.227
0;B;1.4;3;80;0.441;0.508;0.504;0.516
0;B;1.4;4;80;0.425;0.5;0.495;0.504
0;B;1.4;2;80;0.372;0.412;0.407;0.421
0;B;1.4;3;80;0.311;0.351;0.35;0.351
0;B;1.4;1;80;0.469;0.532;0.531;0.537
0;B;1.4;2;80;0.511;0.585;0.596;0.608
0;B;1.4;5;80;0.162;0.161;0.166;0.167
0;B;1.4;1;80;0.209;0.226;0.229;0.226
0;B;1.4;4;80;0.427;0.486;0.484;0.496
0;B;1.4;5;80;0.416;0.474;0.47;0.473
0;B;1.4;3;40;0.272;0.31;0.328;0.339
0;B;1.4;4;40;0.32;0.365;0.363;0.375
0;B;1.4;2;40;0.452;0.539;0.545;0.554
0;B;1.4;3;40;0.449;0.53;0.516;0.533
0;B;1.4;1;40;0.177;0.18;0.183;0.174
0;B;1.4;2;40;0.221;0.239;0.239;0.233
0;B;1.4;5;40;0.534;0.591;0.584;0.608
0;B;1.4;1;40;0.411;0.473;0.476;0.488
0;B;1.4;4;40;0.346;0.371;0.373;0.377
0;B;1.4;5;40;0.38;0.426;0.428;0.431
0;B;1.4;3;100;0.536;0.603;0.6;0.606
0;B;1.4;4;100;0.568;0.652;0.647;0.654
0;B;1.4;2;100;0.192;0.207;0.206;0.21
0;B;1.4;3;100;0.213;0.233;0.237;0.241
0;B;1.4;1;100;0.472;0.553;0.551;0.556
0;B;1.4;2;100;0.432;0.504;0.503;0.516
0;B;1.4;5;100;0.293;0.319;0.327;0.334
0;B;1.4;1;100;0.289;0.329;0.34;0.341
0;B;1.4;4;100;0.503;0.587;0.571;0.588
0;B;1.4;5;100;0.488;0.556;0.56;0.565
10;B;1.4;3;10;0.221;0.237;0.264;0.36
10;B;1.4;4;10;0.321;0.331;0.34;0.485
10;B;1.4;2;10;0.216;0.208;0.202;0.31
10;B;1.4;3;10;0.216;0.209;0.205;0.294
10;B;1.4;1;10;0.138;0.134;0.156;0.138
10;B;1.4;2;10;0.159;0.151;0.163;0.168
10;B;1.4;5;10;0.181;0.175;0.183;0.202
10;B;1.4;1;10;0.228;0.191;0.191;0.214
10;B;1.4;4;10;0.223;0.199;0.196;0.245
10;B;1.4;5;10;0.224;0.198;0.187;0.227
10;B;1.4;3;80;0.238;0.259;0.292;0.41
10;B;1.4;4;80;0.527;0.534;0.555;1.221
10;B;1.4;2;80;0.279;0.252;0.245;0.438
10;B;1.4;3;80;0.332;0.306;0.29;0.517
10;B;1.4;1;80;0.391;0.38;0.356;0.419
10;B;1.4;2;80;0.368;0.365;0.334;0.409
10;B;1.4;5;80;0.404;0.404;0.372;0.463
10;B;1.4;1;80;0.335;0.326;0.326;0.396
10;B;1.4;4;80;0.307;0.31;0.31;0.39
10;B;1.4;5;80;0.354;0.336;0.326;0.426
10;B;1.4;3;40;0.39;0.412;0.448;0.676
10;B;1.4;4;40;0.403;0.419;0.449;0.841
10;B;1.4;2;40;0.201;0.204;0.215;0.273
10;B;1.4;3;40;0.342;0.347;0.365;0.542
10;B;1.4;1;40;0.1;0.1;0.12;0.111
10;B;1.4;2;40;0.237;0.246;0.269;0.3
10;B;1.4;5;40;0.243;0.256;0.274;0.323
10;B;1.4;1;40;0.155;0.122;0.116;0.141
10;B;1.4;4;40;0.26;0.241;0.248;0.315
10;B;1.4;5;40;0.29;0.272;0.273;0.356
10;B;1.4;3;100;0.292;0.301;0.337;0.472
10;B;1.4;4;100;0.372;0.383;0.415;0.693
10;B;1.4;2;100;0.253;0.224;0.214;0.324
10;B;1.4;3;100;0.293;0.261;0.245;0.393
10;B;1.4;1;100;0.192;0.182;0.141;0.138
10;B;1.4;2;100;0.404;0.399;0.366;0.463
10;B;1.4;5;100;0.386;0.376;0.365;0.473
10;B;1.4;1;100;0.125;0.105;0.092;0.096
10;B;1.4;4;100;0.351;0.331;0.343;0.457
10;B;1.4;5;100;0.387;0.425;0.407;0.535
20;B;1.4;3;10;0.389;0.45;;0.436
20;B;1.4;4;10;0.514;0.584;;0.557
20;B;1.4;2;10;0.336;0.386;;0.398
20;B;1.4;3;10;0.308;0.359;;0.365
20;B;1.4;1;10;0.141;0.139;;0.137
20;B;1.4;2;10;0.172;0.18;;0.185
20;B;1.4;5;10;0.202;0.208;;0.217
20;B;1.4;1;10;0.217;0.212;;0.237
20;B;1.4;4;10;0.25;0.248;;0.261
20;B;1.4;5;10;0.229;0.236;;0.262
20;B;1.4;3;80;0.47;0.545;;0.544
20;B;1.4;4;80;1.32;1.611;;1.613
20;B;1.4;2;80;0.473;0.581;;0.601
20;B;1.4;3;80;0.605;0.695;;0.721
20;B;1.4;1;80;0.441;0.507;;0.51
20;B;1.4;2;80;0.434;0.495;;0.489
20;B;1.4;5;80;0.485;0.559;;0.559
20;B;1.4;1;80;0.413;0.467;;0.47
20;B;1.4;4;80;0.409;0.457;;0.452
20;B;1.4;5;80;0.443;0.507;;0.516
20;B;1.4;3;40;0.708;0.695;;0.806
20;B;1.4;4;40;0.925;0.906;;1.086
20;B;1.4;2;40;0.283;0.283;;0.31
20;B;1.4;3;40;0.569;0.563;;0.645
20;B;1.4;1;40;0.112;0.106;;0.103
20;B;1.4;2;40;0.302;0.294;;0.302
20;B;1.4;5;40;0.327;0.319;;0.335
20;B;1.4;1;40;0.147;0.151;;0.159
20;B;1.4;4;40;0.327;0.33;;0.37
20;B;1.4;5;40;0.366;0.368;;0.396
20;B;1.4;3;100;0.49;0.48;;0.56
20;B;1.4;4;100;0.736;0.747;;0.903
20;B;1.4;2;100;0.341;0.345;;0.397
20;B;1.4;3;100;0.418;0.428;;0.505
20;B;1.4;1;100;0.149;0.165;;0.185
20;B;1.4;2;100;0.482;0.487;;0.537
20;B;1.4;5;100;0.487;0.489;;0.544
20;B;1.4;1;100;0.102;0.112;;0.119
20;B;1.4;4;100;0.463;0.46;;0.537
20;B;1.4;5;100;0.55;0.54;;0.552
30;B;1.4;3;10;0.418;0.442;;0.455
30;B;1.4;4;10;0.599;0.607;;0.619
30;B;1.4;2;10;0.426;0.415;;0.419
30;B;1.4;3;10;0.39;0.386;;0.397
30;B;1.4;1;10;0.149;0.138;;0.148
30;B;1.4;2;10;0.187;0.196;;0.208
30;B;1.4;5;10;0.223;0.234;;0.24
30;B;1.4;1;10;0.235;0.248;;0.273
30;B;1.4;4;10;0.262;0.281;;0.312
30;B;1.4;5;10;0.262;0.282;;0.299
30;B;1.4;3;80;0.603;0.693;;0.716
30;B;1.4;4;80;1.714;1.721;;1.734
30;B;1.4;2;80;0.647;0.735;;0.759
30;B;1.4;3;80;0.811;0.876;;0.906
30;B;1.4;1;80;0.554;0.575;;0.572
30;B;1.4;2;80;0.538;0.565;;0.573
30;B;1.4;5;80;0.6;0.64;;0.641
30;B;1.4;1;80;0.504;0.546;;0.559
30;B;1.4;4;80;0.489;0.529;;0.545
30;B;1.4;5;80;0.548;0.6;;0.61
30;B;1.4;3;40;0.842;0.85;;0.844
30;B;1.4;4;40;1.159;1.131;;1.122
30;B;1.4;2;40;0.341;0.368;;0.367
30;B;1.4;3;40;0.678;0.685;;0.687
30;B;1.4;1;40;0.106;0.107;;0.111
30;B;1.4;2;40;0.313;0.332;;0.33
30;B;1.4;5;40;0.342;0.388;;0.382
30;B;1.4;1;40;0.166;0.164;;0.19
30;B;1.4;4;40;0.37;0.399;;0.413
30;B;1.4;5;40;0.416;0.462;;0.478
30;B;1.4;3;100;0.588;0.72;;0.721
30;B;1.4;4;100;0.989;1.113;;1.131
30;B;1.4;2;100;0.425;0.52;;0.542
30;B;1.4;3;100;0.541;0.665;;0.689
30;B;1.4;1;100;0.235;0.2;;0.207
30;B;1.4;2;100;0.587;0.614;;0.62
30;B;1.4;5;100;0.591;0.634;;0.644
30;B;1.4;1;100;0.143;0.124;;0.142
30;B;1.4;4;100;0.55;0.626;;0.616
30;B;1.4;5;100;0.58;0.698;;0.68
40;B;1.4;3;10;0.247;0.468;0.453;0.455
40;B;1.4;4;10;0.351;0.642;0.631;0.638
40;B;1.4;2;10;0.241;0.442;0.446;0.45
40;B;1.4;3;10;0.243;0.404;0.41;0.408
40;B;1.4;1;10;0.153;0.151;0.135;0.145
40;B;1.4;2;10;0.159;0.207;0.201;0.202
40;B;1.4;5;10;0.186;0.244;0.237;0.238
40;B;1.4;1;10;0.215;0.271;0.243;0.255
40;B;1.4;4;10;0.223;0.311;0.294;0.292
40;B;1.4;5;10;0.22;0.308;0.294;0.296
40;B;1.4;3;80;0.337;0.761;0.738;0.731
40;B;1.4;4;80;0.58;1.803;1.811;1.814
40;B;1.4;2;80;0.359;0.87;0.853;0.858
40;B;1.4;3;80;0.41;0.961;0.939;0.937
40;B;1.4;1;80;0.43;0.579;0.574;0.57
40;B;1.4;2;80;0.411;0.583;0.59;0.583
40;B;1.4;5;80;0.452;0.65;0.66;0.651
40;B;1.4;1;80;0.372;0.56;0.561;0.564
40;B;1.4;4;80;0.341;0.558;0.557;0.557
40;B;1.4;5;80;0.378;0.619;0.619;0.614
40;B;1.4;3;40;0.432;0.881;0.889;0.894
40;B;1.4;4;40;0.464;1.162;1.164;1.163
40;B;1.4;2;40;0.238;0.386;0.394;0.393
40;B;1.4;3;40;0.385;0.709;0.721;0.721
40;B;1.4;1;40;0.104;0.112;0.11;0.106
40;B;1.4;2;40;0.247;0.338;0.336;0.338
40;B;1.4;5;40;0.256;0.387;0.386;0.387
40;B;1.4;1;40;0.151;0.194;0.174;0.166
40;B;1.4;4;40;0.263;0.406;0.393;0.397
40;B;1.4;5;40;0.296;0.484;0.469;0.466
40;B;1.4;3;100;0.347;0.75;0.756;0.754
40;B;1.4;4;100;0.488;1.241;1.248;1.263
40;B;1.4;2;100;0.266;0.559;0.545;0.54
40;B;1.4;3;100;0.334;0.727;0.713;0.706
40;B;1.4;1;100;0.24;0.212;0.223;0.197
40;B;1.4;2;100;0.448;0.634;0.639;0.631
40;B;1.4;5;100;0.441;0.651;0.657;0.648
40;B;1.4;1;100;0.145;0.143;0.14;0.122
40;B;1.4;4;100;0.37;0.627;0.628;0.629
40;B;1.4;5;100;0.436;0.703;0.694;0.68
50;B;1.4;3;10;0.249;0.478;0.475;0.485
50;B;1.4;4;10;0.334;0.643;0.653;0.654
50;B;1.4;2;10;0.228;0.467;0.469;0.468
50;B;1.4;3;10;0.224;0.419;0.423;0.427
50;B;1.4;1;10;0.138;0.148;0.146;0.145
50;B;1.4;2;10;0.163;0.209;0.212;0.21
50;B;1.4;5;10;0.187;0.242;0.248;0.243
50;B;1.4;1;10;0.212;0.255;0.253;0.261
50;B;1.4;4;10;0.233;0.294;0.302;0.301
50;B;1.4;5;10;0.232;0.3;0.314;0.313
50;B;1.4;3;80;0.338;0.775;0.779;0.775
50;B;1.4;4;80;0.576;1.867;1.822;1.869
50;B;1.4;2;80;0.365;0.887;0.895;0.879
50;B;1.4;3;80;0.418;0.973;0.981;0.976
50;B;1.4;1;80;0.376;0.59;0.594;0.589
50;B;1.4;2;80;0.367;0.594;0.607;0.588
50;B;1.4;5;80;0.401;0.655;0.67;0.661
50;B;1.4;1;80;0.34;0.571;0.578;0.574
50;B;1.4;4;80;0.324;0.554;0.572;0.562
50;B;1.4;5;80;0.352;0.614;0.629;0.62
50;B;1.4;3;40;0.443;0.915;0.912;0.913
50;B;1.4;4;40;0.472;1.229;1.2;1.197
50;B;1.4;2;40;0.232;0.407;0.415;0.408
50;B;1.4;3;40;0.388;0.747;0.752;0.753
50;B;1.4;1;40;0.106;0.109;0.114;0.091
50;B;1.4;2;40;0.248;0.34;0.339;0.336
50;B;1.4;5;40;0.264;0.398;0.394;0.394
50;B;1.4;1;40;0.15;0.168;0.183;0.166
50;B;1.4;4;40;0.282;0.42;0.426;0.423
50;B;1.4;5;40;0.303;0.472;0.485;0.477
50;B;1.4;3;100;0.347;0.781;0.776;0.782
50;B;1.4;4;100;0.507;1.329;1.332;1.332
50;B;1.4;2;100;0.267;0.547;0.562;0.553
50;B;1.4;3;100;0.323;0.719;0.724;0.73
50;B;1.4;1;100;0.173;0.21;0.235;0.214
50;B;1.4;2;100;0.4;0.64;0.66;0.646
50;B;1.4;5;100;0.394;0.658;0.675;0.664
50;B;1.4;1;100;0.118;0.133;0.15;0.136
50;B;1.4;4;100;0.369;0.626;0.637;0.634
50;B;1.4;5;100;0.404;0.685;0.692;0.694
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
